timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1525464027384,55,Frontpage,200,OK,Thread Group 1-18,text,true,,45377,633,30,30,http://rtc2018.absurdicum.net/,,55,UTF-8,1,0,ip-172-31-16-98,0,1
1525464027445,55,Frontpage,200,OK,Thread Group 1-16,text,true,,45376,633,30,30,http://rtc2018.absurdicum.net/,,54,UTF-8,1,0,ip-172-31-16-98,0,0
1525464027599,56,Frontpage,200,OK,Thread Group 1-2,text,true,,45384,633,30,30,http://rtc2018.absurdicum.net/,,55,UTF-8,1,0,ip-172-31-16-98,0,0
1525464027660,62,Frontpage,200,OK,Thread Group 1-28,text,true,,45384,633,30,30,http://rtc2018.absurdicum.net/,,61,UTF-8,1,0,ip-172-31-16-98,0,0
1525464027574,155,Post comment,200,OK,Thread Group 1-8,text,true,,41946,1867,30,30,http://rtc2018.absurdicum.net/2018/03/15/hueyapan-municipality/#comment-10839,,36,UTF-8,1,0,ip-172-31-16-98,0,0
1525464027773,55,Frontpage,200,OK,Thread Group 1-6,text,true,,45384,633,30,30,http://rtc2018.absurdicum.net/,,54,UTF-8,1,0,ip-172-31-16-98,0,0
1525464027820,53,Archive,200,OK,Thread Group 1-10,text,true,,32688,683,30,30,http://rtc2018.absurdicum.net/2017/09/,,53,UTF-8,1,0,ip-172-31-16-98,0,0
1525464027882,55,Frontpage,200,OK,Thread Group 1-22,text,true,,45389,633,30,30,http://rtc2018.absurdicum.net/,,54,UTF-8,1,0,ip-172-31-16-98,0,1
1525464027801,157,Post comment,200,OK,Thread Group 1-26,text,true,,42662,1858,30,30,http://rtc2018.absurdicum.net/2018/03/17/james-a-owen/#comment-10840,,33,UTF-8,1,0,ip-172-31-16-98,0,0
1525464028028,59,Frontpage,200,OK,Thread Group 1-4,text,true,,45387,633,30,30,http://rtc2018.absurdicum.net/,,58,UTF-8,1,0,ip-172-31-16-98,0,0
1525464028196,57,Frontpage,200,OK,Thread Group 1-3,text,true,,45388,633,30,30,http://rtc2018.absurdicum.net/,,56,UTF-8,1,0,ip-172-31-16-98,0,1
1525464028314,130,Article,200,OK,Thread Group 1-9,text,true,,44269,702,30,30,http://rtc2018.absurdicum.net/2018/05/04/helder-footballer/,,129,UTF-8,1,0,ip-172-31-16-98,0,0
1525464028716,61,Archive,200,OK,Thread Group 1-21,text,true,,42563,683,30,30,http://rtc2018.absurdicum.net/2017/04/,,60,UTF-8,1,0,ip-172-31-16-98,0,1
1525464028811,60,Frontpage,200,OK,Thread Group 1-15,text,true,,45388,633,30,30,http://rtc2018.absurdicum.net/,,59,UTF-8,1,0,ip-172-31-16-98,0,1
1525464028844,69,Archive,200,OK,Thread Group 1-17,text,true,,58287,683,30,30,http://rtc2018.absurdicum.net/2018/03/,,67,UTF-8,1,0,ip-172-31-16-98,0,0
1525464028843,125,Article,200,OK,Thread Group 1-24,text,true,,45069,702,30,30,http://rtc2018.absurdicum.net/2018/03/11/johann-steinhauer/,,125,UTF-8,1,0,ip-172-31-16-98,0,0
1525464029024,59,Frontpage,200,OK,Thread Group 1-29,text,true,,45388,633,30,30,http://rtc2018.absurdicum.net/,,58,UTF-8,1,0,ip-172-31-16-98,0,1
