timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1525454471747,142,Article,200,OK,Thread Group 1-10,text,true,,35093,700,20,20,http://rtc2018.absurdicum.net/2018/03/23/zenna-henderson/,,141,UTF-8,1,0,ip-172-31-16-98,0,0
1525454471805,123,Post comment,200,OK,Thread Group 1-15,text,true,,30077,1859,20,20,http://rtc2018.absurdicum.net/2017/08/05/hideaki-wakui/#comment-957,,47,UTF-8,1,0,ip-172-31-16-98,0,1
1525454471887,91,Article,200,OK,Thread Group 1-7,text,true,,29511,697,20,20,http://rtc2018.absurdicum.net/2018/03/23/leiman-house/,,91,UTF-8,1,0,ip-172-31-16-98,0,0
1525454472192,73,Frontpage,200,OK,Thread Group 1-18,text,true,,45358,633,20,20,http://rtc2018.absurdicum.net/,,72,UTF-8,1,0,ip-172-31-16-98,0,0
1525454472158,148,Post comment,200,OK,Thread Group 1-20,text,true,,33984,1636,20,20,http://rtc2018.absurdicum.net/2018/03/17/james-a-owen/#comment-958,,41,UTF-8,1,0,ip-172-31-16-98,0,1
1525454472368,59,Frontpage,200,OK,Thread Group 1-13,text,true,,45359,633,20,20,http://rtc2018.absurdicum.net/,,58,UTF-8,1,0,ip-172-31-16-98,0,1
1525454472600,93,Article,200,OK,Thread Group 1-17,text,true,,30837,700,20,20,http://rtc2018.absurdicum.net/2018/03/20/maurice-bourget/,,92,UTF-8,1,0,ip-172-31-16-98,0,0
1525454473057,79,Search,200,OK,Thread Group 1-11,text,true,,20342,675,20,20,http://rtc2018.absurdicum.net/?s=Chinese,,79,UTF-8,1,0,ip-172-31-16-98,0,0
1525454473093,65,Frontpage,200,OK,Thread Group 1-1,text,true,,45359,633,20,20,http://rtc2018.absurdicum.net/,,64,UTF-8,1,0,ip-172-31-16-98,0,0
1525454473212,75,Frontpage,200,OK,Thread Group 1-5,text,true,,45351,633,20,20,http://rtc2018.absurdicum.net/,,75,UTF-8,1,0,ip-172-31-16-98,0,1
1525454473171,150,Post comment,200,OK,Thread Group 1-6,text,true,,32615,1867,20,20,http://rtc2018.absurdicum.net/2018/03/15/hueyapan-municipality/#comment-959,,40,UTF-8,1,0,ip-172-31-16-98,0,1
1525454473628,86,Frontpage,200,OK,Thread Group 1-9,text,true,,45351,633,20,20,http://rtc2018.absurdicum.net/,,85,UTF-8,1,0,ip-172-31-16-98,0,0
1525454473655,81,Frontpage,200,OK,Thread Group 1-19,text,true,,45351,633,20,20,http://rtc2018.absurdicum.net/,,80,UTF-8,1,0,ip-172-31-16-98,0,1
1525454473710,96,Frontpage,200,OK,Thread Group 1-13,text,true,,45350,633,20,20,http://rtc2018.absurdicum.net/,,96,UTF-8,1,0,ip-172-31-16-98,0,0
1525454473708,100,Frontpage,200,OK,Thread Group 1-3,text,true,,45351,633,20,20,http://rtc2018.absurdicum.net/,,99,UTF-8,1,0,ip-172-31-16-98,0,0
1525454473766,84,Search,200,OK,Thread Group 1-16,text,true,,21946,670,20,20,http://rtc2018.absurdicum.net/?s=of,,84,UTF-8,1,0,ip-172-31-16-98,0,0
1525454473798,72,Frontpage,200,OK,Thread Group 1-8,text,true,,45351,633,20,20,http://rtc2018.absurdicum.net/,,71,UTF-8,1,0,ip-172-31-16-98,0,1
1525454473867,124,Post comment,200,OK,Thread Group 1-17,text,true,,31763,1861,20,20,http://rtc2018.absurdicum.net/2018/03/20/maurice-bourget/#comment-960,,35,UTF-8,1,0,ip-172-31-16-98,0,0
1525454474214,140,Post comment,200,OK,Thread Group 1-7,text,true,,30450,1858,20,20,http://rtc2018.absurdicum.net/2018/03/23/leiman-house/#comment-961,,51,UTF-8,1,0,ip-172-31-16-98,0,1
1525454474570,68,Frontpage,200,OK,Thread Group 1-14,text,true,,45368,633,20,20,http://rtc2018.absurdicum.net/,,67,UTF-8,1,0,ip-172-31-16-98,0,0
1525454474606,64,Frontpage,200,OK,Thread Group 1-12,text,true,,45367,633,20,20,http://rtc2018.absurdicum.net/,,63,UTF-8,1,0,ip-172-31-16-98,0,1
1525454474662,60,Article,200,OK,Thread Group 1-11,text,true,,21924,692,20,20,http://rtc2018.absurdicum.net/2017/10/16/ou-zhen/,,59,UTF-8,1,0,ip-172-31-16-98,0,1
1525454474860,85,Frontpage,200,OK,Thread Group 1-19,text,true,,45367,633,20,20,http://rtc2018.absurdicum.net/,,84,UTF-8,1,0,ip-172-31-16-98,0,0
1525454474872,74,Frontpage,200,OK,Thread Group 1-1,text,true,,45367,633,20,20,http://rtc2018.absurdicum.net/,,73,UTF-8,1,0,ip-172-31-16-98,0,0
1525454474990,61,Frontpage,200,OK,Thread Group 1-15,text,true,,45368,633,20,20,http://rtc2018.absurdicum.net/,,60,UTF-8,1,0,ip-172-31-16-98,0,1
