timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1525460236059,3381,Post comment,200,OK,Thread Group 1-8,text,true,,91066,1861,29,29,http://rtc2018.absurdicum.net/2018/03/23/zenna-henderson/#comment-7814,,73,UTF-8,1,0,ip-172-31-16-98,0,1
1525460238956,520,Post comment,200,OK,Thread Group 1-1,text,true,,27696,1875,29,29,http://rtc2018.absurdicum.net/2017/11/14/church-of-st-giles-thurloxton/#comment-7820,,71,UTF-8,1,0,ip-172-31-16-98,0,1
1525460236024,3635,Post comment,200,OK,Thread Group 1-23,text,true,,91927,1867,29,29,http://rtc2018.absurdicum.net/2018/03/15/hueyapan-municipality/#comment-7813,,90,UTF-8,1,0,ip-172-31-16-98,0,1
1525460239442,345,Search,200,OK,Thread Group 1-10,text,true,,21955,670,29,29,http://rtc2018.absurdicum.net/?s=of,,345,UTF-8,1,0,ip-172-31-16-98,0,0
1525460239749,303,Search,200,OK,Thread Group 1-18,text,true,,20391,675,29,29,http://rtc2018.absurdicum.net/?s=Chinese,,303,UTF-8,1,0,ip-172-31-16-98,0,0
1525460236244,3849,Post comment,200,OK,Thread Group 1-24,text,true,,94069,1874,29,29,http://rtc2018.absurdicum.net/2018/04/03/colcabamba-district-tayacaja/#comment-7815,,71,UTF-8,1,0,ip-172-31-16-98,0,0
1525460239838,363,Frontpage,200,OK,Thread Group 1-6,text,true,,45402,633,29,29,http://rtc2018.absurdicum.net/,,362,UTF-8,1,0,ip-172-31-16-98,0,1
1525460236586,3891,Article,200,OK,Thread Group 1-17,text,true,,96132,702,29,29,http://rtc2018.absurdicum.net/2018/05/04/helder-footballer/,,3669,UTF-8,1,0,ip-172-31-16-98,0,1
1525460236533,3978,Post comment,200,OK,Thread Group 1-3,text,true,,96971,1863,29,29,http://rtc2018.absurdicum.net/2018/05/04/helder-footballer/#comment-7816,,75,UTF-8,1,0,ip-172-31-16-98,0,1
1525460236858,3735,Post comment,200,OK,Thread Group 1-21,text,true,,92270,1863,29,29,http://rtc2018.absurdicum.net/2018/03/11/johann-steinhauer/#comment-7817,,84,UTF-8,1,0,ip-172-31-16-98,0,0
1525460240264,331,Frontpage,200,OK,Thread Group 1-16,text,true,,45404,633,29,29,http://rtc2018.absurdicum.net/,,330,UTF-8,1,0,ip-172-31-16-98,0,0
1525460240619,251,Frontpage,200,OK,Thread Group 1-1,text,true,,45402,633,29,29,http://rtc2018.absurdicum.net/,,250,UTF-8,1,0,ip-172-31-16-98,0,0
1525460237724,3436,Article,200,OK,Thread Group 1-27,text,true,,88257,700,29,29,http://rtc2018.absurdicum.net/2018/03/20/maurice-bourget/,,3304,UTF-8,1,0,ip-172-31-16-98,0,0
